"","id_piezometro","anno","media_nivel","n_medidas","sd_nivel"
"95","2144-7-0050",1983,0.643333333333333,3,0.178978583448784
"96","2144-7-0050",1984,0.93,1,NA
"97","2144-7-0050",1985,0.65875,8,0.121118301082631
"98","2144-7-0050",1986,0.446666666666667,6,0.138371480683942
"99","2144-7-0050",1987,0.495714285714286,7,0.14717983816374
"100","2144-7-0050",1988,0.611666666666667,6,0.0545588367422425
"101","2144-7-0050",1989,0.465,2,0.0353553390593274
"102","2144-7-0050",1992,0.546666666666667,3,0.230723499742296
"103","2144-7-0050",1993,0.196666666666667,3,0.145716619962629
"104","2144-7-0050",1994,0.22,4,0.134412301024373
"105","2144-7-0050",1995,0.235,4,0.0810349718742881
"106","2144-7-0050",1996,0.406666666666667,6,0.13094528119282
"107","2144-7-0050",1997,1.245,4,0.219772609758359
"108","2144-7-0050",1998,0.9575,4,0.122848144742469
"109","2144-7-0050",1999,0.536666666666667,3,0.0472581562625261
"110","2144-7-0050",2000,0.52,1,NA
"111","2144-7-0050",2001,-0.15,2,0.848528137423857
"112","2144-7-0050",2002,1.75,1,NA
"113","2144-7-0050",2003,1.35,2,1.20208152801713
"114","2144-7-0059",1975,2.9225,4,0.555660267909569
"115","2144-7-0059",1976,2.43,4,0.29743346594939
"116","2144-7-0059",1977,3.11454545454545,11,0.372085034269416
"117","2144-7-0059",1978,3.10833333333333,12,0.429541686691828
"118","2144-7-0059",1979,3.33818181818182,11,0.589097923639494
"119","2144-7-0059",1980,1.08909090909091,11,0.6671799539173
"120","2144-7-0059",1981,1.53,9,0.25377155080899
"121","2144-7-0059",1982,0.885,2,1.05358910396796
"122","2144-7-0059",1995,-26.05,1,NA
"123","2144-7-0067",1975,0.98,1,NA
"124","2144-7-0067",1976,0.715,4,0.357444634407438
"125","2144-7-0137",1979,1.58,4,0.0216024689946929
"126","2144-7-0137",1980,1.38545454545455,11,0.205590059894132
"127","2144-7-0137",1981,1.02727272727273,11,0.165595344686432
"128","2144-7-0137",1982,0.951666666666667,6,0.120402104079068
"129","2144-7-0137",1983,3.67,3,4.68541353564443
"130","2144-7-0137",1984,1.49,1,NA
"131","2144-7-0137",1985,1.12625,8,0.148702723579631
"132","2144-7-0137",1986,1.33666666666667,6,0.756588835938429
"133","2144-7-0137",1987,2.53142857142857,7,2.04487512716896
"134","2144-7-0137",1988,1.58833333333333,6,1.60240340322488
"135","2144-7-0137",1989,5.28,2,2.75771644662754
"136","2144-7-0137",1992,0.863333333333333,3,0.134288247189891
"137","2144-7-0137",1993,0.63,3,0.04
"138","2144-7-0137",1994,0.65,4,0.0605530070819498
"139","2144-7-0137",1995,0.585,4,0.0858292879305582
"140","2144-7-0137",1996,0.816666666666667,3,0.0513160143944688
"141","2144-7-0137",1997,1.71333333333333,3,0.0230940107675851
"142","2144-7-0137",1998,1.58,3,0.125299640861417
"143","2144-7-0137",1999,0.935,2,0.134350288425444
"144","2144-7-0137",2001,0.83,2,0.339411254969543
"145","2144-7-0137",2003,1,2,0.113137084989848
"146","2144-7-0138",1979,3.1225,4,0.259663243451976
"147","2144-7-0138",1980,2.53090909090909,11,0.608185079485752
"148","2144-7-0138",1981,1.71272727272727,11,0.272106262665559
"149","2144-7-0138",1982,1.65285714285714,7,0.262533444581466
"150","2144-7-0138",1983,1.73,3,0.155884572681199
"151","2144-7-0138",1984,2.13,1,NA
"152","2144-7-0138",1985,1.82625,8,0.263923013666594
"153","2144-7-0138",1986,1.56666666666667,6,0.0568037557443755
"154","2144-7-0138",1987,1.44666666666667,3,0.0923760430703401
"155","2144-7-0138",1988,1.59666666666667,6,0.0560951572479003
"156","2144-7-0138",1989,1.6,2,0.0282842712474619
"157","2144-7-0138",1992,1.80666666666667,3,0.202319878739914
"158","2144-7-0138",1993,1.68333333333333,3,0.0650640709864771
"159","2144-7-0138",1994,1.725,4,0.00577350269189626
"160","2144-7-0138",1995,1.72,3,0.0173205080756888
"161","2144-7-0138",1996,2.78166666666667,6,3.69124595044365
"162","2144-7-0138",1997,10.25,1,NA
"163","2144-7-0139",1979,0.88,4,0.122474487139159
"164","2144-7-0139",1980,0.658,10,0.226067836426739
"165","2144-7-0139",1981,0.479090909090909,11,0.111754601288228
"166","2144-7-0139",1982,0.412857142857143,7,0.0819988385515888
"167","2144-7-0139",1983,0.343333333333333,3,0.0945163125250522
"168","2144-7-0139",1984,0.52,1,NA
"169","2144-7-0139",1985,0.40375,8,0.155741314823194
